Date3,exchangerub
2011-10-31,31.351188478736105
2011-11-30,30.8597
2011-12-31,31.4526401782608
2012-01-31,31.5095093616411
2012-02-29,29.8819592331582
2012-03-31,29.3958
2012-04-30,26.426555064167
2012-05-31,30.6482
2012-06-30,32.9132
2012-07-31,32.5
2012-08-31,32.033
2012-09-30,31.5272850062338
2012-10-31,31.092035300274496
2012-11-30,31.410079603352603
2012-12-31,30.740352655073295
2013-01-31,30.257811124984
2013-02-28,30.1608371320481
2013-03-31,30.7983714990946
2013-04-30,31.3290071613254
2013-05-31,31.2406147157314
2013-06-30,32.2777639061442
2013-07-31,32.7364128846722
2013-08-31,33.0154278112175
2013-09-30,32.6284295149345
2013-10-31,32.0622479332239
2013-11-30,32.6448
2013-12-31,32.894
2014-01-31,33.457
2014-02-28,35.2237
2014-03-31,36.211
2014-04-30,35.6618
2014-05-31,34.9269
2014-06-30,34.4065
2014-07-31,34.6352
2014-08-31,36.10997288639589
2014-09-30,37.869515476940315
2014-10-31,40.7589
2014-11-30,45.864897369665904
2014-12-31,55.4131
2015-01-31,61.6987575066538
2015-02-28,64.6323693746473
2015-03-31,60.2342744254407
2015-04-30,52.8694
2015-05-31,50.5807
2015-06-30,54.4998
2015-07-31,57.0673
2015-08-31,65.1515
2015-09-30,66.7662
2015-10-31,63.0652
2015-11-30,65.02600000000001
2015-12-31,69.6603
2016-01-31,76.2506
2016-02-29,77.21739999999998
2016-03-31,70.4711
2016-04-30,66.6827
2016-05-31,65.663
2016-06-30,65.306
2016-07-31,64.334
2016-08-31,64.9231
2016-09-30,64.5976
2016-10-31,62.6798
2016-11-30,64.3612
2016-12-31,62.1847
2017-01-31,59.9558
2017-02-28,58.3921
2017-03-31,58.1037
2017-04-30,56.43
2017-05-31,57.17
2017-06-30,57.81849876865029
2017-07-31,59.6683839702776
2017-08-31,59.6468081739681
2017-09-30,57.6938982621206
2017-10-31,57.7298540771854
2017-11-30,58.918170969861286
2017-12-31,58.5864
2018-01-31,56.7843
2018-02-28,56.8076
2018-03-31,57.0331
2018-04-30,60.4268
2018-05-31,62.2062
2018-06-30,62.7115
2018-07-31,62.8815
2018-08-31,66.0944
2018-09-30,67.6467
2018-10-31,65.8853
2018-11-30,66.2375
2018-12-31,67.3027
2019-01-31,67.3328
2019-02-28,65.8593
2019-03-31,65.1429
2019-04-30,64.617
2019-05-31,64.8152
2019-06-30,64.2246
2019-07-31,63.1983
2019-08-31,65.5278
2019-09-30,64.9795
2019-10-31,64.3539
2019-11-30,63.865
2019-12-31,62.9356
2020-01-31,61.7808
2020-02-29,63.8776
2020-03-31,73.14799999999998
2020-04-30,75.21689999999998
2020-05-31,72.611
2020-06-30,69.2217
2020-07-31,71.2825
2020-08-31,73.79699999999998
2020-09-30,75.6513
2020-10-31,77.5887
2020-11-30,77.033
2020-12-31,74.05039999999998
2021-01-31,74.2247
2021-02-28,74.3794
2021-03-31,74.4093
2021-04-30,76.09239999999998
2021-05-31,74.042
2021-06-30,72.5083
2021-07-31,73.9174
2021-08-31,73.5929
2021-09-30,72.891
2021-10-31,71.492
2021-11-30,72.58639999999998
2021-12-31,73.71639999999998
2022-01-31,75.8682
2022-02-28,77.3412
2022-03-31,103.6808
2022-04-30,77.80889999999998
2022-05-31,64.6393
2022-06-30,57.1764
2022-07-31,58.0843
2022-08-31,60.3487
2022-09-30,59.7916
2022-10-31,60.8636
2022-11-30,60.8749
2022-12-31,65.3414
2023-01-31,69.2264
2023-02-28,73.0047
2023-03-31,76.08249999999998
2023-04-30,80.8803
2023-05-31,78.9367
2023-06-30,83.1468
2023-07-31,90.41650000000001
2023-08-31,95.2629
2023-09-30,96.6494
2023-10-31,97.0068
2023-11-30,90.5715
2023-12-31,90.7596
2024-01-31,88.9825
2024-02-29,91.6103
2024-03-31,91.6941
2024-04-30,92.8856
2024-05-31,90.8704
2024-06-30,88.0459
