Date3,DSG(monthly)
1988-09-30,7.4780952380952375
1988-10-31,7.5969999999999995
1988-11-30,8.0285
1988-12-31,8.348571428571429
1989-01-31,8.558499999999999
1989-02-28,8.836842105263159
1989-03-31,9.142272727272728
1989-04-30,8.9625
1989-05-31,8.735909090909091
1989-06-30,8.434545454545455
1989-07-31,8.147
1989-08-31,8.17
1989-09-30,8.0145
1989-10-31,7.899523809523809
1989-11-30,7.943809523809524
1989-12-31,7.8795
1990-01-31,7.898095238095239
1990-02-28,8.002105263157894
1990-03-31,8.17
1990-04-30,8.0405
1990-05-31,8.006818181818183
1990-06-30,7.986666666666666
1990-07-31,7.874761904761905
1990-08-31,7.694347826086957
1990-09-30,7.597894736842106
1990-10-31,7.4
1990-11-30,7.2905
1990-12-31,6.9495000000000005
1991-01-31,6.41047619047619
1991-02-28,6.116315789473684
1991-03-31,6.093500000000001
1991-04-30,5.825454545454545
1991-05-31,5.633636363636364
1991-06-30,5.7509999999999994
1991-07-31,5.750909090909091
1991-08-31,5.497727272727273
1991-09-30,5.3735
1991-10-31,5.1440909090909095
1991-11-30,4.689473684210526
1991-12-31,4.184285714285714
1992-01-31,3.9061904761904764
1992-02-29,3.9499999999999997
1992-03-31,4.138636363636364
1992-04-30,3.8390476190476193
1992-05-31,3.719
1992-06-30,3.745
1992-07-31,3.2795454545454548
1992-08-31,3.1990476190476196
1992-09-30,2.968571428571429
1992-10-31,2.932857142857143
1992-11-30,3.2057894736842103
1992-12-31,3.291363636363636
1993-01-31,3.0710526315789473
1993-02-28,2.9926315789473685
1993-03-31,3.0143478260869565
1993-04-30,2.9304761904761905
1993-05-31,3.025
1993-06-30,3.144545454545455
1993-07-31,3.110952380952381
1993-08-31,3.0904545454545453
1993-09-30,3.0085714285714285
1993-10-31,3.092
1993-11-30,3.1795
1993-12-31,3.127727272727273
1994-01-31,3.0445
1994-02-28,3.3305263157894736
1994-03-31,3.5908695652173916
1994-04-30,3.7805263157894737
1994-05-31,4.267619047619048
1994-06-30,4.249090909090909
1994-07-31,4.4565
1994-08-31,4.611739130434783
1994-09-30,4.751428571428572
1994-10-31,5.101999999999999
1994-11-30,5.449
1994-12-31,5.7647619047619045
1995-01-31,5.9015
1995-02-28,5.939473684210526
1995-03-31,5.910434782608696
1995-04-30,5.837894736842105
1995-05-31,5.847727272727273
1995-06-30,5.63909090909091
1995-07-31,5.593
1995-08-31,5.565652173913043
1995-09-30,5.434
1995-10-31,5.444285714285714
1995-11-30,5.5180952380952375
1995-12-31,5.294
1996-01-31,5.150476190476191
1996-02-29,4.9645
1996-03-31,5.097619047619047
1996-04-30,5.087727272727273
1996-05-31,5.153636363636363
1996-06-30,5.2315
1996-07-31,5.298181818181818
1996-08-31,5.1890909090909085
1996-09-30,5.2375
1996-10-31,5.123181818181818
1996-11-30,5.169473684210526
1996-12-31,5.04047619047619
1997-01-31,5.1657142857142855
1997-02-28,5.1421052631578945
1997-03-31,5.2844999999999995
1997-04-30,5.304545454545455
1997-05-31,5.196666666666666
1997-06-30,5.070952380952381
1997-07-31,5.194545454545454
1997-08-31,5.27952380952381
1997-09-30,5.084761904761905
1997-10-31,5.112727272727273
1997-11-30,5.2811111111111115
1997-12-31,5.304545454545455
1998-01-31,5.179
1998-02-28,5.23
1998-03-31,5.161818181818182
1998-04-30,5.082857142857143
1998-05-31,5.14
1998-06-30,5.124090909090909
1998-07-31,5.094545454545455
1998-08-31,5.040952380952381
1998-09-30,4.739047619047619
1998-10-31,4.070476190476191
1998-11-30,4.531052631578947
1998-12-31,4.496818181818182
1999-01-31,4.446315789473684
1999-02-28,4.5552631578947365
1999-03-31,4.566521739130435
1999-04-30,4.409090909090909
1999-05-31,4.631
1999-06-30,4.715454545454545
1999-07-31,4.685714285714286
1999-08-31,4.873636363636364
1999-09-30,4.822380952380952
1999-10-31,5.0185
1999-11-30,5.2275
1999-12-31,5.3568181818181815
2000-01-31,5.4990000000000006
2000-02-29,5.727
2000-03-31,5.863913043478261
2000-04-30,5.821578947368421
2000-05-31,5.994545454545454
2000-06-30,5.861818181818182
2000-07-31,6.1425
2000-08-31,6.277391304347826
2000-09-30,6.175
2000-10-31,6.294761904761905
2000-11-30,6.356190476190475
2000-12-31,5.936999999999999
2001-01-31,5.285238095238095
2001-02-28,5.005263157894737
2001-03-31,4.535454545454545
2001-04-30,3.966
2001-05-31,3.703181818181818
2001-06-30,3.5652380952380955
2001-07-31,3.593333333333333
2001-08-31,3.4378260869565223
2001-09-30,2.69235294117647
2001-10-31,2.1977272727272728
2001-11-30,1.9065
2001-12-31,1.72
2002-01-31,1.684761904761905
2002-02-28,1.756842105263158
2002-03-31,1.825
2002-04-30,1.745
2002-05-31,1.7604545454545453
2002-06-30,1.732
2002-07-31,1.7136363636363638
2002-08-31,1.6472727272727274
2002-09-30,1.659
2002-10-31,1.61
2002-11-30,1.2547368421052632
2002-12-31,1.210952380952381
2003-01-31,1.189047619047619
2003-02-28,1.1852631578947368
2003-03-31,1.150952380952381
2003-04-30,1.1523809523809523
2003-05-31,1.0880952380952382
2003-06-30,0.9361904761904762
2003-07-31,0.9204545454545454
2003-08-31,0.9690476190476189
2003-09-30,0.9552380952380952
2003-10-31,0.9418181818181818
2003-11-30,0.9522222222222223
2003-12-31,0.9145454545454546
2004-01-31,0.9005000000000001
2004-02-29,0.9447368421052631
2004-03-31,0.9534782608695652
2004-04-30,0.9580952380952381
2004-05-31,1.0394999999999999
2004-06-30,1.2880952380952382
2004-07-31,1.3576190476190477
2004-08-31,1.5031818181818182
2004-09-30,1.6814285714285715
2004-10-31,1.7945
2004-11-30,2.1075
2004-12-31,2.222727272727273
2005-01-31,2.371
2005-02-28,2.579473684210526
2005-03-31,2.795909090909091
2005-04-30,2.836666666666667
2005-05-31,2.901904761904762
2005-06-30,3.036363636363636
2005-07-31,3.2875
2005-08-31,3.5182608695652173
2005-09-30,3.494285714285714
2005-10-31,3.7924999999999995
2005-11-30,3.9745
2005-12-31,3.970952380952381
2006-01-31,4.336
2006-02-28,4.5394736842105265
2006-03-31,4.627826086956522
2006-04-30,4.721578947368421
2006-05-31,4.836363636363637
2006-06-30,4.917727272727273
2006-07-31,5.0765
2006-08-31,5.090434782608695
2006-09-30,4.93
2006-10-31,5.046190476190477
2006-11-30,5.073333333333333
2006-12-31,4.973
2007-01-31,5.105238095238095
2007-02-28,5.163157894736842
2007-03-31,5.079999999999999
2007-04-30,5.006666666666667
2007-05-31,4.867727272727273
2007-06-30,4.741904761904761
2007-07-31,4.9609523809523814
2007-08-31,4.31695652173913
2007-09-30,3.9942105263157894
2007-10-31,4.002727272727273
2007-11-30,3.3545000000000003
2007-12-31,3.0665
2008-01-31,2.82
2008-02-29,2.1740000000000004
2008-03-31,1.2835
2008-04-30,1.3118181818181818
2008-05-31,1.7642857142857142
2008-06-30,1.8904761904761906
2008-07-31,1.6550000000000002
2008-08-31,1.752857142857143
2008-09-30,1.1466666666666665
2008-10-31,0.6859090909090909
2008-11-30,0.1938888888888889
2008-12-31,0.03409090909090909
2009-01-31,0.1295
2009-02-28,0.29526315789473684
2009-03-31,0.2159090909090909
2009-04-30,0.15809523809523812
2009-05-31,0.177
2009-06-30,0.17863636363636365
2009-07-31,0.18363636363636363
2009-08-31,0.1719047619047619
2009-09-30,0.12333333333333335
2009-10-31,0.07428571428571429
2009-11-30,0.05210526315789474
2009-12-31,0.05454545454545454
2010-01-31,0.061578947368421046
2010-02-28,0.10894736842105263
2010-03-31,0.15043478260869564
2010-04-30,0.1622727272727273
2010-05-31,0.16
2010-06-30,0.12363636363636364
2010-07-31,0.15761904761904763
2010-08-31,0.155
2010-09-30,0.1519047619047619
2010-10-31,0.1345
2010-11-30,0.143
2010-12-31,0.1409090909090909
2011-01-31,0.152
2011-02-28,0.13210526315789473
2011-03-31,0.10043478260869565
2011-04-30,0.058499999999999996
2011-05-31,0.04095238095238095
2011-06-30,0.03727272727272728
2011-07-31,0.0375
2011-08-31,0.024347826086956525
2011-09-30,0.013809523809523811
2011-10-31,0.019
2011-11-30,0.014000000000000002
2011-12-31,0.01142857142857143
2012-01-31,0.0345
2012-02-29,0.092
2012-03-31,0.08409090909090909
2012-04-30,0.0838095238095238
2012-05-31,0.08954545454545454
2012-06-30,0.09142857142857143
2012-07-31,0.09714285714285714
2012-08-31,0.10260869565217391
2012-09-30,0.10526315789473684
2012-10-31,0.10476190476190476
2012-11-30,0.0935
2012-12-31,0.06999999999999999
2013-01-31,0.07428571428571429
2013-02-28,0.09894736842105263
2013-03-31,0.087
2013-04-30,0.060000000000000005
2013-05-31,0.04409090909090909
2013-06-30,0.0505
2013-07-31,0.035454545454545454
2013-08-31,0.04363636363636363
2013-09-30,0.016
2013-10-31,0.04727272727272727
2013-11-30,0.06789473684210527
2013-12-31,0.06666666666666668
2014-01-31,0.043333333333333335
2014-02-28,0.05263157894736842
2014-03-31,0.05238095238095238
2014-04-30,0.030952380952380953
2014-05-31,0.03238095238095238
2014-06-30,0.03571428571428571
2014-07-31,0.026363636363636363
2014-08-31,0.032857142857142856
2014-09-30,0.02
2014-10-31,0.01681818181818182
2014-11-30,0.021666666666666667
2014-12-31,0.02909090909090909
2015-01-31,0.027500000000000004
2015-02-28,0.017894736842105265
2015-03-31,0.027727272727272725
2015-04-30,0.023181818181818182
2015-05-31,0.0165
2015-06-30,0.015000000000000001
2015-07-31,0.03227272727272727
2015-08-31,0.0719047619047619
2015-09-30,0.024285714285714285
2015-10-31,0.016666666666666666
2015-11-30,0.12631578947368421
2015-12-31,0.22863636363636364
2016-01-31,0.2573684210526316
2016-02-29,0.3145
2016-03-31,0.2972727272727273
2016-04-30,0.2280952380952381
2016-05-31,0.27666666666666667
2016-06-30,0.2727272727272727
2016-07-31,0.30100000000000005
2016-08-31,0.2995652173913043
2016-09-30,0.29428571428571426
2016-10-31,0.3315
2016-11-30,0.4525
2016-12-31,0.5119047619047619
2017-01-31,0.519
2017-02-28,0.5263157894736842
2017-03-31,0.7478260869565218
2017-04-30,0.8084210526315789
2017-05-31,0.9031818181818182
2017-06-30,0.9990909090909091
2017-07-31,1.0865
2017-08-31,1.0321739130434784
2017-09-30,1.0465
2017-10-31,1.0933333333333333
2017-11-30,1.2504761904761905
2017-12-31,1.3415000000000001
2018-01-31,1.4323809523809523
2018-02-28,1.5878947368421052
2018-03-31,1.7266666666666666
2018-04-30,1.788095238095238
2018-05-31,1.8995454545454544
2018-06-30,1.9352380952380952
2018-07-31,1.9947619047619047
2018-08-31,2.072608695652174
2018-09-30,2.165263157894737
2018-10-31,2.2931818181818184
2018-11-30,2.374
2018-12-31,2.4121052631578945
2019-01-31,2.4238095238095236
2019-02-28,2.437894736842105
2019-03-31,2.453809523809524
2019-04-30,2.432857142857143
2019-05-31,2.4031818181818183
2019-06-30,2.2195
2019-07-31,2.145
2019-08-31,1.9904545454545455
2019-09-30,1.9344999999999999
2019-10-31,1.6786363636363637
2019-11-30,1.572105263157895
2019-12-31,1.5652380952380955
2020-01-31,1.5523809523809524
2020-02-29,1.5447368421052632
2020-03-31,0.29545454545454547
2020-04-30,0.1380952380952381
2020-05-31,0.1275
2020-06-30,0.15954545454545455
2020-07-31,0.12681818181818183
2020-08-31,0.10428571428571429
2020-09-30,0.10857142857142857
2020-10-31,0.10047619047619047
2020-11-30,0.09105263157894737
2020-12-31,0.08727272727272727
2021-01-31,0.08368421052631579
2021-02-28,0.04263157894736842
2021-03-31,0.03130434782608695
2021-04-30,0.02090909090909091
2021-05-31,0.018
2021-06-30,0.03590909090909091
2021-07-31,0.05238095238095238
2021-08-31,0.05454545454545454
2021-09-30,0.0419047619047619
2021-10-31,0.052000000000000005
2021-11-30,0.051500000000000004
2021-12-31,0.05863636363636364
2022-01-31,0.14550000000000002
2022-02-28,0.3147368421052632
2022-03-31,0.44739130434782615
2022-04-30,0.7635
2022-05-31,0.9928571428571429
2022-06-30,1.5385714285714287
2022-07-31,2.298
2022-08-31,2.721739130434783
2022-09-30,3.221904761904762
2022-10-31,3.8725
2022-11-30,4.323
2022-12-31,4.358095238095238
2023-01-31,4.6875
2023-02-28,4.787894736842105
2023-03-31,4.858695652173913
2023-04-30,5.0735
2023-05-31,5.308181818181819
2023-06-30,5.4157142857142855
2023-07-31,5.4885
2023-08-31,5.559130434782609
2023-09-30,5.5555
2023-10-31,5.604761904761905
2023-11-30,5.522857142857143
2023-12-31,5.442
2024-01-31,5.453809523809523
2024-02-29,5.4405
2024-03-31,5.468500000000001
2024-04-30,5.443636363636364
2024-05-31,5.455
2024-06-30,5.5063157894736845
2024-07-31,5.431818181818182
2024-08-31,5.295454545454546
2024-09-30,4.922
2024-10-31,4.718181818181818
2024-11-30,4.62
2024-12-31,4.407857142857143
