Date3,DSG2yr
1981-09-30,15.650681818181818
1981-10-31,14.225795454545453
1981-11-30,11.395238095238096
1981-12-31,11.313913043478262
1982-01-31,12.856309523809525
1982-02-28,14.379
1982-03-31,13.314782608695653
1982-04-30,13.359204545454544
1982-05-31,12.699285714285715
1982-06-30,13.078636363636365
1982-07-31,11.925227272727273
1982-08-31,8.997272727272728
1982-09-30,8.2125
1982-10-31,7.955119047619048
1982-11-30,8.33159090909091
1982-12-31,8.201521739130435
1983-01-31,8.117142857142857
1983-02-28,8.384125000000001
1983-03-31,8.659565217391306
1983-04-30,8.534880952380954
1983-05-31,8.51534090909091
1983-06-30,9.139545454545454
1983-07-31,9.44154761904762
1983-08-31,9.73913043478261
1983-09-30,9.372272727272728
1983-10-31,8.993571428571428
1983-11-30,9.11284090909091
1983-12-31,9.354886363636364
1984-01-31,9.2675
1984-02-29,9.460357142857143
1984-03-31,9.889545454545454
1984-04-30,10.073214285714286
1984-05-31,10.215760869565218
1984-06-30,10.26047619047619
1984-07-31,10.523863636363636
1984-08-31,10.900434782608697
1984-09-30,10.812000000000001
1984-10-31,10.141739130434782
1984-11-30,8.923181818181819
1984-12-31,8.316428571428572
1985-01-31,8.021739130434783
1985-02-28,8.550374999999999
1985-03-31,8.83
1985-04-30,8.230454545454545
1985-05-31,7.720543478260869
1985-06-30,7.18
1985-07-31,7.307608695652173
1985-08-31,7.370454545454546
1985-09-30,7.3273809523809526
1985-10-31,7.403804347826087
1985-11-30,7.471904761904762
1985-12-31,7.32659090909091
1986-01-31,7.300652173913043
1986-02-28,7.287999999999999
1986-03-31,6.752857142857143
1986-04-30,6.235454545454545
1986-05-31,6.335568181818181
1986-06-30,6.396666666666666
1986-07-31,6.002608695652174
1986-08-31,5.685238095238096
1986-09-30,5.351136363636363
1986-10-31,5.320434782608696
1986-11-30,5.50525
1986-12-31,5.684565217391304
1987-01-31,5.580909090909091
1987-02-28,5.756625
1987-03-31,5.765909090909091
1987-04-30,5.811931818181818
1987-05-31,5.844642857142857
1987-06-30,5.854545454545455
1987-07-31,5.8775
1987-08-31,6.233333333333333
1987-09-30,6.622386363636363
1987-10-31,6.381477272727273
1987-11-30,5.890238095238095
1987-12-31,5.957934782608696
1988-01-31,6.007619047619047
1988-02-29,5.847380952380952
1988-03-31,5.869999999999999
1988-04-30,6.074880952380953
1988-05-31,6.463863636363637
1988-06-30,6.66409090909091
1988-07-31,6.939404761904761
1988-08-31,7.2995652173913035
1988-09-30,7.478863636363636
1988-10-31,7.594285714285713
1988-11-30,8.036818181818182
1988-12-31,8.351704545454545
1989-01-31,8.550568181818182
1989-02-28,8.833625
1989-03-31,9.15304347826087
1989-04-30,8.9625
1989-05-31,8.741521739130436
1989-06-30,8.434545454545455
1989-07-31,8.146666666666667
1989-08-31,8.17
1989-09-30,8.020595238095238
1989-10-31,7.89840909090909
1989-11-30,7.9372727272727275
1989-12-31,7.884047619047619
1990-01-31,7.892826086956521
1990-02-28,8.003499999999999
1990-03-31,8.17
1990-04-30,8.03940476190476
1990-05-31,8.007282608695652
1990-06-30,7.986666666666666
1990-07-31,7.877727272727273
1990-08-31,7.694347826086957
1990-09-30,7.599875
1990-10-31,7.398913043478261
1990-11-30,7.288181818181818
1990-12-31,6.937857142857142
1991-01-31,6.413260869565217
1991-02-28,6.116375
1991-03-31,6.08547619047619
1991-04-30,5.825454545454545
1991-05-31,5.631521739130435
1991-06-30,5.7509999999999994
1991-07-31,5.750652173913043
1991-08-31,5.497727272727273
1991-09-30,5.379761904761905
1991-10-31,5.143586956521739
1991-11-30,4.683571428571428
1991-12-31,4.172045454545454
1992-01-31,3.9068478260869566
1992-02-29,3.9485
1992-03-31,4.138636363636364
1992-04-30,3.834772727272727
1992-05-31,3.7239285714285715
1992-06-30,3.745
1992-07-31,3.2806521739130434
1992-08-31,3.1990476190476196
1992-09-30,2.968409090909091
1992-10-31,2.9329545454545456
1992-11-30,3.2080952380952383
1992-12-31,3.2894565217391305
1993-01-31,3.07547619047619
1993-02-28,2.992875
1993-03-31,3.0143478260869565
1993-04-30,2.931590909090909
1993-05-31,3.030357142857143
1993-06-30,3.144545454545455
1993-07-31,3.1102272727272724
1993-08-31,3.0904545454545453
1993-09-30,3.008522727272727
1993-10-31,3.0925
1993-11-30,3.18
1993-12-31,3.1278260869565218
1994-01-31,3.044166666666667
1994-02-28,3.3335
1994-03-31,3.5908695652173916
1994-04-30,3.7823809523809526
1994-05-31,4.269431818181818
1994-06-30,4.249090909090909
1994-07-31,4.453571428571429
1994-08-31,4.611739130434783
1994-09-30,4.7484090909090915
1994-10-31,5.099523809523809
1994-11-30,5.446590909090909
1994-12-31,5.762954545454545
1995-01-31,5.8981818181818175
1995-02-28,5.937749999999999
1995-03-31,5.910434782608696
1995-04-30,5.834125
1995-05-31,5.846413043478261
1995-06-30,5.63909090909091
1995-07-31,5.597142857142857
1995-08-31,5.565652173913043
1995-09-30,5.436190476190476
1995-10-31,5.445454545454545
1995-11-30,5.517272727272727
1995-12-31,5.282261904761905
1996-01-31,5.151521739130435
1996-02-29,4.96452380952381
1996-03-31,5.097619047619047
1996-04-30,5.087727272727273
1996-05-31,5.15445652173913
1996-06-30,5.2315
1996-07-31,5.297173913043478
1996-08-31,5.1890909090909085
1996-09-30,5.241071428571429
1996-10-31,5.124782608695653
1996-11-30,5.168571428571428
1996-12-31,5.0429545454545455
1997-01-31,5.1673913043478255
1997-02-28,5.14075
1997-03-31,5.288333333333334
1997-04-30,5.304545454545455
1997-05-31,5.195909090909091
