Date3,DSG(30 year)
1977-02-28,7.755750000000001
1977-03-31,7.796086956521739
1977-04-30,7.736428571428571
1977-05-31,7.795454545454546
1977-06-30,7.635909090909092
1977-07-31,7.642738095238095
1977-08-31,7.683478260869565
1977-09-30,7.640113636363637
1977-10-31,7.773809523809524
1977-11-30,7.846704545454545
1977-12-31,7.943863636363636
1978-01-31,8.174431818181818
1978-02-28,8.25625
1978-03-31,8.234347826086957
1978-04-30,8.34
1978-05-31,8.440434782608696
1978-06-30,8.500454545454545
1978-07-31,8.647619047619047
1978-08-31,8.473478260869564
1978-09-30,8.468571428571428
1978-10-31,8.666363636363636
1978-11-30,8.754318181818181
1978-12-31,8.887261904761905
1979-01-31,8.940108695652174
1979-02-28,9.001625
1979-03-31,9.030909090909091
1979-04-30,9.084761904761905
1979-05-31,9.180217391304348
1979-06-30,8.923333333333332
1979-07-31,8.926590909090908
1979-08-31,8.977826086956522
1979-09-30,9.166875000000001
1979-10-31,9.834673913043478
1979-11-30,10.308863636363636
1979-12-31,10.126904761904761
1980-01-31,10.576521739130435
1980-02-29,12.137857142857142
1980-03-31,12.33904761904762
1980-04-30,11.435
1980-05-31,10.349431818181818
1980-06-30,9.813333333333333
1980-07-31,10.230652173913043
1980-08-31,11.00095238095238
1980-09-30,11.329886363636364
1980-10-31,11.568478260869565
1980-11-30,12.3675
1980-12-31,12.373695652173915
1981-01-31,12.136136363636364
1981-02-28,12.827125
1981-03-31,12.68590909090909
1981-04-30,13.200113636363636
1981-05-31,13.585952380952381
1981-06-30,12.960454545454546
1981-07-31,13.576521739130435
1981-08-31,14.167619047619047
1981-09-30,14.679659090909091
1981-10-31,14.66840909090909
1981-11-30,13.367142857142856
1981-12-31,13.467391304347826
1982-01-31,14.199285714285715
1982-02-28,14.241
1982-03-31,13.533043478260868
1982-04-30,13.370227272727272
1982-05-31,13.259166666666667
1982-06-30,13.923636363636364
1982-07-31,13.571704545454544
1982-08-31,12.767727272727273
1982-09-30,12.071022727272727
1982-10-31,11.15690476190476
1982-11-30,10.544318181818182
1982-12-31,10.536739130434782
1983-01-31,10.630476190476191
1983-02-28,10.869875
1983-03-31,10.63304347826087
1983-04-30,10.486904761904762
1983-05-31,10.546022727272726
1983-06-30,10.932727272727274
1983-07-31,11.385119047619048
1983-08-31,11.816086956521739
1983-09-30,11.643522727272728
1983-10-31,11.575833333333334
1983-11-30,11.74693181818182
1983-12-31,11.87840909090909
1984-01-31,11.75840909090909
1984-02-29,11.9525
1984-03-31,12.383636363636363
1984-04-30,12.657261904761905
1984-05-31,13.442934782608695
1984-06-30,13.439523809523811
1984-07-31,13.225681818181817
1984-08-31,12.539565217391305
1984-09-30,12.30625
1984-10-31,11.99195652173913
1984-11-30,11.560227272727273
1984-12-31,11.512380952380951
1985-01-31,11.458152173913044
1985-02-28,11.45725
1985-03-31,11.812857142857142
1985-04-30,11.480568181818182
1985-05-31,11.033152173913043
1985-06-30,10.445
1985-07-31,10.489565217391304
1985-08-31,10.559545454545455
1985-09-30,10.599642857142857
1985-10-31,10.504021739130435
1985-11-30,10.052857142857142
1985-12-31,9.527272727272727
1986-01-31,9.39108695652174
1986-02-28,8.9275
1986-03-31,7.941547619047619
1986-04-30,7.386363636363637
1986-05-31,7.512727272727273
1986-06-30,7.573333333333333
1986-07-31,7.26804347826087
1986-08-31,7.326190476190476
1986-09-30,7.6025
1986-10-31,7.698152173913043
1986-11-30,7.515000000000001
1986-12-31,7.369999999999999
1987-01-31,7.386818181818182
1987-02-28,7.54375
1987-03-31,7.551363636363636
1987-04-30,8.252840909090908
1987-05-31,8.778809523809523
1987-06-30,8.569545454545455
1987-07-31,8.626847826086957
1987-08-31,8.97
1987-09-30,9.5925
1987-10-31,9.628636363636362
1987-11-30,8.956666666666667
1987-12-31,9.111630434782608
1988-01-31,8.830833333333333
1988-02-29,8.436309523809523
1988-03-31,8.630869565217392
1988-04-30,8.947380952380954
1988-05-31,9.23534090909091
1988-06-30,8.997727272727273
1988-07-31,9.127142857142857
1988-08-31,9.315652173913042
1988-09-30,9.055454545454545
1988-10-31,8.892261904761906
1988-11-30,9.025454545454545
1988-12-31,9.002727272727272
1989-01-31,8.931704545454545
1989-02-28,9.012
1989-03-31,9.168260869565218
1989-04-30,9.025
1989-05-31,8.823478260869566
1989-06-30,8.266363636363637
1989-07-31,8.080238095238096
1989-08-31,8.12217391304348
1989-09-30,8.153809523809523
1989-10-31,7.999545454545455
1989-11-30,7.901363636363637
1989-12-31,7.9
1990-01-31,8.245869565217392
1990-02-28,8.509
1990-03-31,8.56318181818182
1990-04-30,8.74904761904762
1990-05-31,8.727717391304349
1990-06-30,8.457619047619048
1990-07-31,8.49409090909091
1990-08-31,8.863478260869565
1990-09-30,9.0285
1990-10-31,8.860978260869565
1990-11-30,8.53625
1990-12-31,8.241428571428571
1991-01-31,8.264130434782608
1991-02-28,8.031749999999999
1991-03-31,8.285833333333333
1991-04-30,8.209545454545456
1991-05-31,8.268152173913043
1991-06-30,8.472
1991-07-31,8.452391304347826
1991-08-31,8.143636363636363
1991-09-30,7.95297619047619
1991-10-31,7.928152173913043
1991-11-30,7.918333333333333
1991-12-31,7.693636363636363
1992-01-31,7.5754347826086965
1992-02-29,7.85975
1992-03-31,7.969545454545455
1992-04-30,7.961931818181818
1992-05-31,7.891309523809523
1992-06-30,7.841818181818183
1992-07-31,7.59945652173913
1992-08-31,7.39047619047619
1992-09-30,7.336590909090909
1992-10-31,7.531704545454545
1992-11-30,7.605714285714286
1992-12-31,7.433478260869565
