Date3,YIELD
1996-12-31,3.13
1997-03-31,2.897377049180328
1997-06-30,2.747230769230769
1997-09-30,2.620461538461538
1997-12-31,2.7806060606060607
1998-03-31,2.926769230769231
1998-06-30,3.032769230769231
1998-09-30,4.290454545454546
1998-12-31,5.904696969696969
1999-03-31,5.3609230769230765
1999-06-30,4.804769230769231
1999-09-30,4.885223880597015
1999-12-31,4.9491044776119395
2000-03-31,5.029230769230769
2000-06-30,5.962615384615384
2000-09-30,6.316363636363636
2000-12-31,8.117846153846154
2001-03-31,8.006
2001-06-30,8.063846153846153
2001-09-30,8.465238095238094
2001-12-31,8.995076923076923
2002-03-31,7.862698412698412
2002-06-30,7.372727272727273
2002-09-30,9.659850746268658
2002-12-31,9.788787878787877
2003-03-31,8.216031746031746
2003-06-30,6.66476923076923
2003-09-30,5.681641791044776
2003-12-31,4.610757575757575
2004-03-31,4.202272727272728
2004-06-30,4.09796875
2004-09-30,3.989253731343283
2004-12-31,3.373333333333333
2005-03-31,3.075714285714286
2005-06-30,3.9706060606060607
2005-09-30,3.50044776119403
2005-12-31,3.6207692307692305
2006-03-31,3.37421875
2006-06-30,3.120307692307692
2006-09-30,3.4065151515151517
2006-12-31,3.1316923076923078
2007-03-31,2.753230769230769
2007-06-30,2.63734375
2007-09-30,4.02590909090909
2007-12-31,5.022
2008-03-31,7.354603174603175
2008-06-30,6.935909090909091
2008-09-30,8.369850746268657
2008-12-31,17.691363636363636
2009-03-31,17.04353846153846
2009-06-30,12.929076923076924
2009-09-30,9.25090909090909
2009-12-31,7.423484848484848
2010-03-31,6.352153846153846
2010-06-30,6.380625
2010-09-30,6.6538805970149255
2010-12-31,5.806865671641791
2011-03-31,4.875
2011-06-30,5.004923076923077
2011-09-30,6.704477611940298
2011-12-31,7.673692307692308
2012-03-31,6.335692307692308
2012-06-30,6.413076923076924
2012-09-30,5.967878787878788
2012-12-31,5.5165625
2013-03-31,4.903968253968253
2013-06-30,4.723181818181819
2013-09-30,4.7393846153846155
2013-12-31,4.328030303030303
2014-03-31,3.9342857142857146
2014-06-30,3.6456923076923076
2014-09-30,3.89134328358209
2014-12-31,4.683484848484849
2015-03-31,4.8865625
2015-06-30,4.5996875
2015-09-30,5.535757575757576
2015-12-31,6.402424242424242
2016-03-31,7.6015625
2016-06-30,6.328181818181818
2016-09-30,5.3638805970149255
2016-12-31,4.634615384615385
2017-03-31,3.92125
2017-06-30,3.7975384615384615
2017-09-30,3.7504545454545455
2017-12-31,3.591846153846154
2018-03-31,3.5090625
2018-06-30,3.4645454545454544
2018-09-30,3.463030303030303
2018-12-31,4.070615384615384
2019-03-31,4.2403125
2019-06-30,4.0218461538461545
2019-09-30,4.0823880597014925
2019-12-31,3.9610769230769227
2020-03-31,5.1443076923076925
2020-06-30,7.148923076923077
2020-09-30,5.369848484848484
2020-12-31,4.548636363636363
2021-03-31,3.615846153846154
2021-06-30,3.2575
2021-09-30,3.2034328358208954
2021-12-31,3.2143939393939394
2022-03-31,3.5590625
2022-06-30,4.3472307692307695
2022-09-30,4.931492537313433
2022-12-31,4.748923076923077
2023-03-31,4.42390625
2023-06-30,4.517076923076924
2023-09-30,3.909242424242424
2023-12-31,3.9779999999999998
2024-03-31,3.365
2024-06-30,3.180151515151515
2024-09-30,3.259850746268657
2024-12-31,2.78728813559322
