Date3,exchange
2018-09-30,14684.333333333334
2018-12-31,14682.333333333334
2019-03-31,14126.0
2019-06-30,14247.0
2019-09-30,14145.666666666666
2019-12-31,14003.668333333333
2020-03-31,14754.335
2020-06-30,14730.669999999998
2020-09-30,14708.335
2020-12-31,14307.668333333333
2021-03-31,14295.001666666665
2021-06-30,14424.666666666666
2021-09-30,14390.669999999998
2021-12-31,14269.336666666664
2022-03-31,14367.005
2022-06-30,14603.333333333334
2022-09-30,15026.668333333333
2022-12-31,15670.0
2023-03-31,15105.0
2023-06-30,14915.333333333334
2023-09-30,15282.666666666666
2023-12-31,15572.0
