Date3,AAA-Bond
1983-01-31,11.788571428571428
1983-02-28,12.00736842105263
1983-03-31,11.732608695652175
1983-04-30,11.5135
1983-05-31,11.463809523809525
1983-06-30,11.743636363636364
1983-07-31,12.147499999999999
1983-08-31,12.51391304347826
1983-09-30,12.365238095238096
1983-10-31,12.247619047619047
1983-11-30,12.413809523809524
1983-12-31,12.57095238095238
1984-01-31,12.2
1984-02-29,12.083499999999999
1984-03-31,12.573636363636364
1984-04-30,12.8085
1984-05-31,13.282727272727273
1984-06-30,13.54904761904762
1984-07-31,13.435238095238095
1984-08-31,12.873478260869565
1984-09-30,12.66
1984-10-31,12.631304347826086
1984-11-30,12.290952380952382
1984-12-31,12.1295
1985-01-31,12.078636363636365
1985-02-28,12.126842105263158
1985-03-31,12.561428571428573
1985-04-30,12.225714285714286
1985-05-31,11.72318181818182
1985-06-30,10.942
1985-07-31,10.965454545454547
1985-08-31,11.049090909090909
1985-09-30,11.065000000000001
1985-10-31,11.015217391304347
1985-11-30,10.5475
1985-12-31,10.162857142857142
1986-01-31,10.05090909090909
1986-02-28,9.666842105263157
1986-03-31,8.9955
1986-04-30,8.788636363636364
1986-05-31,9.088571428571429
1986-06-30,9.132380952380952
1986-07-31,8.875454545454545
1986-08-31,8.723333333333333
1986-09-30,8.888571428571428
1986-10-31,8.861739130434783
1986-11-30,8.68157894736842
1986-12-31,8.494545454545454
1987-01-31,8.359523809523811
1987-02-28,8.38421052631579
1987-03-31,8.363636363636363
1987-04-30,8.85190476190476
1987-05-31,9.3255
1987-06-30,9.32090909090909
1987-07-31,9.415
1987-08-31,9.66904761904762
1987-09-30,10.18047619047619
1987-10-31,10.517272727272728
1987-11-30,10.014500000000002
1987-12-31,10.114090909090908
1988-01-31,9.879999999999999
1988-02-29,9.396
1988-03-31,9.388260869565217
1988-04-30,9.6705
1988-05-31,9.904285714285715
1988-06-30,9.855454545454545
1988-07-31,9.964
1988-08-31,10.111739130434783
1988-09-30,9.81952380952381
1988-10-31,9.505238095238095
1988-11-30,9.447142857142856
1988-12-31,9.567619047619047
1989-01-31,9.622857142857143
1989-02-28,9.635263157894736
1989-03-31,9.80181818181818
1989-04-30,9.791
1989-05-31,9.572727272727272
1989-06-30,9.096363636363636
1989-07-31,8.9315
1989-08-31,8.958260869565217
1989-09-30,9.004999999999999
1989-10-31,8.919545454545455
1989-11-30,8.890952380952381
1989-12-31,8.8565
1990-01-31,8.989090909090908
1990-02-28,9.222631578947368
1990-03-31,9.368636363636362
1990-04-30,9.4635
1990-05-31,9.465000000000002
1990-06-30,9.256666666666666
1990-07-31,9.242380952380952
1990-08-31,9.408260869565217
1990-09-30,9.563684210526317
1990-10-31,9.53217391304348
1990-11-30,9.29857142857143
1990-12-31,9.054
1991-01-31,9.042272727272728
1991-02-28,8.829473684210527
1991-03-31,8.928
1991-04-30,8.858181818181817
1991-05-31,8.855909090909092
1991-06-30,9.007
1991-07-31,8.998636363636363
1991-08-31,8.751363636363637
1991-09-30,8.608
1991-10-31,8.546956521739132
1991-11-30,8.48
1991-12-31,8.308571428571428
1992-01-31,8.200454545454546
1992-02-29,8.286842105263156
1992-03-31,8.348636363636365
1992-04-30,8.328095238095237
1992-05-31,8.2795
1992-06-30,8.221363636363636
1992-07-31,8.066818181818181
1992-08-31,7.949999999999999
1992-09-30,7.920476190476191
1992-10-31,7.99
1992-11-30,8.096
1992-12-31,7.9772727272727275
1993-01-31,7.905500000000001
1993-02-28,7.709473684210526
1993-03-31,7.583043478260869
1993-04-30,7.460476190476191
1993-05-31,7.4295
1993-06-30,7.326363636363637
1993-07-31,7.174761904761904
1993-08-31,6.846363636363637
1993-09-30,6.6571428571428575
1993-10-31,6.67
1993-11-30,6.9280952380952385
1993-12-31,6.931818181818182
1994-01-31,6.924761904761904
1994-02-28,7.075263157894737
1994-03-31,7.484347826086956
1994-04-30,7.882105263157894
1994-05-31,7.991428571428571
1994-06-30,7.965454545454546
1994-07-31,8.114
1994-08-31,8.073478260869566
1994-09-30,8.338571428571429
1994-10-31,8.567619047619047
1994-11-30,8.682380952380953
1994-12-31,8.461428571428572
1995-01-31,8.457619047619048
1995-02-28,8.26
1995-03-31,8.120434782608696
1995-04-30,8.026315789473685
1995-05-31,7.649090909090909
1995-06-30,7.302727272727273
1995-07-31,7.410500000000001
1995-08-31,7.566521739130435
1995-09-30,7.3165
1995-10-31,7.124090909090909
1995-11-30,7.015714285714285
1995-12-31,6.821
1996-01-31,6.8077272727272735
1996-02-29,6.9864999999999995
1996-03-31,7.346190476190476
1996-04-30,7.502272727272728
1996-05-31,7.623636363636364
1996-06-30,7.7095
1996-07-31,7.645
1996-08-31,7.463636363636363
1996-09-30,7.656000000000001
1996-10-31,7.392727272727272
1996-11-30,7.103684210526316
1996-12-31,7.203809523809523
1997-01-31,7.418181818181818
1997-02-28,7.305263157894737
1997-03-31,7.5595
1997-04-30,7.725909090909091
1997-05-31,7.585714285714286
1997-06-30,7.41047619047619
1997-07-31,7.140454545454546
1997-08-31,7.2214285714285715
1997-09-30,7.148095238095239
1997-10-31,6.997727272727272
1997-11-30,6.870555555555556
1997-12-31,6.766363636363637
1998-01-31,6.6135
1998-02-28,6.677894736842105
1998-03-31,6.71409090909091
1998-04-30,6.695714285714287
1998-05-31,6.697
1998-06-30,6.530454545454545
1998-07-31,6.551363636363636
1998-08-31,6.523333333333333
1998-09-30,6.402857142857143
1998-10-31,6.3757142857142854
1998-11-30,6.408947368421052
1998-12-31,6.216818181818183
1999-01-31,6.238421052631579
