Date3,exchange
1979-03-31,0.7385561617617592
1979-06-30,0.7505656934463335
1979-09-30,0.7197152419927685
1979-12-31,0.710956239242781
1980-03-31,0.7094344331471804
1980-06-30,0.7194688191927224
1980-09-30,0.7027090096538205
1980-12-31,0.7468564485667836
1981-03-31,0.811009564679504
1981-06-30,0.8961288690503958
1981-09-30,0.9689926968252012
1981-12-31,0.916724617787016
1982-03-31,0.9635222976648947
1982-06-30,1.0113322009104513
1982-09-30,1.05162057556542
1982-12-31,1.0710163082743132
1983-03-31,1.0557333333369299
1983-06-30,1.0962666666649366
1983-09-30,1.1617333333318434
1983-12-31,1.1857999999968634
1984-03-31,1.2035666666633933
1984-06-30,1.21203333333445
1984-09-30,1.3030999999997832
1984-12-31,1.3674666666678001
1985-03-31,1.46313333332849
1985-06-30,1.37839999999657
1985-09-30,1.2747999999992334
1985-12-31,1.1712666666620268
1986-03-31,1.0829666666686535
1986-06-30,1.0432666666650532
1986-09-30,0.9875999999985656
1986-12-31,0.9621333333331373
1987-03-31,0.888866666666824
1987-06-30,0.8699000000002953
1987-09-30,0.8860333333335193
1987-12-31,0.8249000000002223
1988-03-31,0.8110000000003007
1988-06-30,0.8204333333336159
1988-09-30,0.8974999999997335
1988-12-31,0.8560333333328646
1989-03-31,0.8886999999995169
1989-06-30,0.9307000000001909
1989-09-30,0.9276333333333847
1989-12-31,0.8858666666662126
1990-03-31,0.8292666666663232
1990-06-30,0.8180666666667094
1990-09-30,0.7714333333327277
1990-12-31,0.7319333333331693
1991-03-31,0.7470333333330926
1991-06-30,0.8431000000000494
1991-09-30,0.8497000000000603
1991-12-31,0.796200000000075
1992-03-31,0.7917666666665656
1992-06-30,0.7871333333332583
1992-09-30,0.7217666666662507
1992-12-31,0.7898666666660574
1993-03-31,0.8395666666674516
1993-06-30,0.8285333333339319
1993-09-30,0.8696666666667925
1993-12-31,0.876966666666704
1994-03-31,0.8894333333331211
1994-06-30,0.8605333333331754
1994-09-30,0.8154999999993991
1994-12-31,0.806800000000294
1995-03-31,0.785848986667285
1995-06-30,0.751292970000577
1995-09-30,0.7632401566661428
1995-12-31,0.759436339999714
1996-03-31,0.7769135633334372
1996-06-30,0.7969055866669804
1996-09-30,0.7851196900004046
1996-12-31,0.792221156666225
1997-03-31,0.8497941133330946
1997-06-30,0.8746592833334338
1997-09-30,0.9157771733328749
1997-12-31,0.8892910366672977
1998-03-31,0.9200570733337372
1998-06-30,0.9100516666664283
1998-09-30,0.8964760531748867
1998-12-31,0.849906204906205
1999-03-31,0.8908650354123191
1999-06-30,0.9462974242417025
1999-09-30,0.9535907950303031
1999-12-31,0.9634983377611114
2000-03-31,1.0128999099451
2000-06-30,1.0707995252575766
2000-09-30,1.1065821814030365
2000-12-31,1.15010266391508
2001-03-31,1.0838351025848467
2001-06-30,1.1444160384127002
2001-09-30,1.1217859469745066
2001-12-31,1.11648726537337
2002-03-31,1.1407329854587298
2002-06-30,1.0874121114778
2002-09-30,1.0165822042661399
2002-12-31,0.99953323008071
2003-03-31,0.931511905574531
2003-06-30,0.880365741174603
2003-09-30,0.888370063254062
2003-12-31,0.8404051569060386
2004-03-31,0.7999041188041063
2004-06-30,0.8297059865894659
2004-09-30,0.8178773148333333
2004-12-31,0.7719609567124665
2005-03-31,0.7630914823679437
2005-06-30,0.7945898260194805
2005-09-30,0.8200075984482403
2005-12-31,0.8407887534725828
2006-03-31,0.8313259251679184
2006-06-30,0.7956177087845849
2006-09-30,0.7845937593077986
2006-12-31,0.7752514897806636
2007-03-31,0.7627094230913043
2007-06-30,0.7417964551256037
2007-09-30,0.727338573349341
2007-12-31,0.6900972570206191
2008-03-31,0.6674643105003449
2008-06-30,0.640181056695527
2008-09-30,0.666884716732543
2008-12-31,0.7613992753623187
2009-03-31,0.7686045454545454
2009-06-30,0.7343098845598847
2009-09-30,0.6990935441370224
2009-12-31,0.6771937198067634
2010-03-31,0.7226642857142856
2010-06-30,0.7869761904761904
2010-09-30,0.7737878787878789
2010-12-31,0.7367457180500656
2011-03-31,0.7314082470669426
2011-06-30,0.6947835497835496
2011-09-30,0.7082332643202207
2011-12-31,0.742209956709957
2012-03-31,0.7625375180375183
2012-06-30,0.779816425120773
2012-09-30,0.7991382740447958
2012-12-31,0.7705326243804507
2013-03-31,0.757865873015873
2013-06-30,0.7656910043290043
2013-09-30,0.7549412729782293
2013-12-31,0.73469248290357
2014-03-31,0.7296647467218773
2014-06-30,0.7292575036075036
2014-09-30,0.7549888339920946
2014-12-31,0.8008694782608696
2015-03-31,0.888312818181818
2015-06-30,0.9041201082251084
2015-09-30,0.8995253356546833
2015-12-31,0.9138483135704872
2016-03-31,0.9073307108350588
2016-06-30,0.8855690548340549
2016-09-30,0.8961600216450217
2016-12-31,0.9280663203463204
2017-03-31,0.9384762213438737
2017-06-30,0.9092752852437417
2017-09-30,0.8514329537612144
2017-12-31,0.8492442352092353
2018-03-31,0.8137506824769433
2018-06-30,0.839484382332643
2018-09-30,0.8595732569169959
2018-12-31,0.8764896188594014
2019-03-31,0.8807720628019323
2019-06-30,0.8897470678524373
2019-09-30,0.8996656860530775
2019-12-31,0.9032086680469291
2020-03-31,0.9078426877470357
2020-06-30,0.9082716450216449
2020-09-30,0.8551811459313634
2020-12-31,0.8388708030616727
2021-03-31,0.8296439075224292
2021-06-30,0.8296618398268399
2021-09-30,0.8483746969696967
2021-12-31,0.8745331266076916
2022-03-31,0.8907364830917878
2022-06-30,0.9392376767676768
2022-09-30,0.9932489510006902
2022-12-31,0.9803069841269835
