Date3,BAA-Bond
1986-01-31,11.436363636363636
1986-02-28,11.112631578947367
1986-03-31,10.495000000000001
1986-04-30,10.190454545454545
1986-05-31,10.285714285714286
1986-06-30,10.33952380952381
1986-07-31,10.164545454545454
1986-08-31,10.181904761904761
1986-09-30,10.201904761904762
1986-10-31,10.236521739130435
1986-11-30,10.067368421052631
1986-12-31,9.972272727272728
1987-01-31,9.724285714285715
1987-02-28,9.653157894736841
1987-03-31,9.61
1987-04-30,10.043333333333333
1987-05-31,10.513
1987-06-30,10.522272727272728
1987-07-31,10.606363636363637
1987-08-31,10.802857142857142
1987-09-30,11.306666666666667
1987-10-31,11.619545454545454
1987-11-30,11.2265
1987-12-31,11.286818181818182
1988-01-31,11.069500000000001
1988-02-29,10.619
1988-03-31,10.57304347826087
1988-04-30,10.895999999999999
1988-05-31,11.043809523809523
1988-06-30,11.003636363636364
1988-07-31,11.114
1988-08-31,11.214347826086957
1988-09-30,10.896666666666667
1988-10-31,10.407142857142858
1988-11-30,10.477619047619047
1988-12-31,10.645238095238096
1989-01-31,10.654285714285715
1989-02-28,10.608947368421052
1989-03-31,10.667727272727273
1989-04-30,10.614
1989-05-31,10.462727272727273
1989-06-30,10.033181818181818
1989-07-31,9.873999999999999
1989-08-31,9.876086956521739
1989-09-30,9.9115
1989-10-31,9.81
1989-11-30,9.812380952380952
1989-12-31,9.8185
1990-01-31,9.942272727272726
1990-02-28,10.14421052631579
1990-03-31,10.206818181818182
1990-04-30,10.3015
1990-05-31,10.411363636363637
1990-06-30,10.220476190476191
1990-07-31,10.195714285714287
1990-08-31,10.412173913043478
1990-09-30,10.63578947368421
1990-10-31,10.738260869565218
1990-11-30,10.623333333333333
1990-12-31,10.4345
1991-01-31,10.451363636363636
1991-02-28,10.06842105263158
1991-03-31,10.09
1991-04-30,9.942272727272726
1991-05-31,9.863636363636363
1991-06-30,9.962
1991-07-31,9.894545454545455
1991-08-31,9.645454545454545
1991-09-30,9.5145
1991-10-31,9.488260869565217
1991-11-30,9.4535
1991-12-31,9.25904761904762
1992-01-31,9.128636363636364
1992-02-29,9.226315789473684
1992-03-31,9.248636363636363
1992-04-30,9.20904761904762
1992-05-31,9.1295
1992-06-30,9.048181818181819
1992-07-31,8.836818181818181
1992-08-31,8.652857142857144
1992-09-30,8.616666666666665
1992-10-31,8.839545454545455
1992-11-30,8.9605
1992-12-31,8.810454545454546
1993-01-31,8.666500000000001
1993-02-28,8.393684210526315
1993-03-31,8.145652173913044
1993-04-30,8.140476190476189
1993-05-31,8.214
1993-06-30,8.069545454545455
1993-07-31,7.933333333333333
1993-08-31,7.595
1993-09-30,7.341904761904762
1993-10-31,7.312380952380953
1993-11-30,7.66047619047619
1993-12-31,7.685
1994-01-31,7.64952380952381
1994-02-28,7.763684210526315
1994-03-31,8.129130434782608
1994-04-30,8.522631578947369
1994-05-31,8.623809523809523
1994-06-30,8.647727272727273
1994-07-31,8.8035
1994-08-31,8.739565217391304
1994-09-30,8.978095238095237
1994-10-31,9.204761904761906
1994-11-30,9.315238095238096
1994-12-31,9.103333333333333
1995-01-31,9.08
1995-02-28,8.85
1995-03-31,8.701304347826087
1995-04-30,8.598947368421053
1995-05-31,8.203181818181818
1995-06-30,7.900454545454545
1995-07-31,8.0385
1995-08-31,8.19304347826087
1995-09-30,7.9345
1995-10-31,7.751363636363636
1995-11-30,7.6847619047619045
1995-12-31,7.4905
1996-01-31,7.465909090909091
1996-02-29,7.6265
1996-03-31,8.036190476190475
1996-04-30,8.19590909090909
1996-05-31,8.297727272727274
1996-06-30,8.4
1996-07-31,8.353181818181818
1996-08-31,8.175454545454546
1996-09-30,8.345
1996-10-31,8.06909090909091
1996-11-30,7.787368421052632
1996-12-31,7.892857142857143
1997-01-31,8.095454545454546
1997-02-28,7.941578947368422
1997-03-31,8.182500000000001
1997-04-30,8.336818181818181
1997-05-31,8.202857142857143
1997-06-30,8.020476190476192
1997-07-31,7.747272727272727
1997-08-31,7.816666666666667
1997-09-30,7.712857142857143
1997-10-31,7.571818181818182
1997-11-30,7.418888888888889
1997-12-31,7.32590909090909
1998-01-31,7.1965
1998-02-28,7.2563157894736845
1998-03-31,7.319090909090909
1998-04-30,7.33047619047619
1998-05-31,7.297499999999999
1998-06-30,7.134090909090909
1998-07-31,7.149090909090909
1998-08-31,7.143333333333333
1998-09-30,7.088095238095238
1998-10-31,7.182380952380953
1998-11-30,7.337894736842105
1998-12-31,7.226363636363636
1999-01-31,7.287894736842105
1999-02-28,7.388947368421052
1999-03-31,7.533913043478261
1999-04-30,7.479090909090909
1999-05-31,7.7219999999999995
1999-06-30,8.015
1999-07-31,7.948095238095238
1999-08-31,8.15409090909091
1999-09-30,8.202380952380953
1999-10-31,8.378
1999-11-30,8.149047619047618
1999-12-31,8.187272727272727
2000-01-31,8.3325
2000-02-29,8.287
2000-03-31,8.367391304347825
2000-04-30,8.402105263157896
2000-05-31,8.900454545454545
2000-06-30,8.482272727272727
2000-07-31,8.3465
2000-08-31,8.255217391304347
2000-09-30,8.346
2000-10-31,8.34142857142857
2000-11-30,8.279047619047619
2000-12-31,8.023
2001-01-31,7.928571428571429
2001-02-28,7.873684210526315
2001-03-31,7.844090909090909
2001-04-30,8.0685
2001-05-31,8.071818181818182
2001-06-30,7.9747619047619045
2001-07-31,7.970000000000001
2001-08-31,7.848695652173913
2001-09-30,8.02764705882353
2001-10-31,7.906818181818181
2001-11-30,7.813
2001-12-31,8.048421052631578
2002-01-31,7.869523809523809
2002-02-28,7.890526315789473
2002-03-31,8.106
