Date3,GDP
1947-01-31,243.164
1947-02-28,244.04615730337076
1947-03-31,245.02283146067415
1947-04-30,245.968
1947-05-31,247.18677173913042
1947-06-30,248.36622826086958
1947-07-31,249.585
1947-08-31,253.00847826086957
1947-09-30,256.32152173913045
1947-10-31,259.745
1947-11-30,261.7005434782609
1947-12-31,263.72127173913043
1948-01-31,265.742
1948-02-29,267.9411666666667
1948-03-31,270.29200000000003
1948-04-30,272.567
1948-05-31,274.8006847826087
1948-06-30,276.96231521739134
1948-07-31,279.196
1948-08-31,279.5902391304348
1948-09-30,279.97176086956523
1948-10-31,280.366
1948-11-30,278.62730434782605
1948-12-31,276.83065217391305
1949-01-31,275.034
1949-02-28,273.8753033707865
1949-03-31,272.5924606741573
1949-04-30,271.351
1949-05-31,271.8692391304348
1949-06-30,272.37076086956523
1949-07-31,272.889
1949-08-31,272.1268043478261
1949-09-30,271.3891956521739
1949-10-31,270.627
1949-11-30,273.95341304347824
1949-12-31,277.3907065217391
1950-01-31,280.828
1950-02-28,283.8340674157303
1950-03-31,287.16221348314605
1950-04-30,290.383
1950-05-31,296.37071739130437
1950-06-30,302.16528260869563
1950-07-31,308.153
1950-08-31,312.12639130434786
1950-09-30,315.97160869565215
1950-10-31,319.945
1950-11-30,325.18032608695654
1950-12-31,330.59016304347824
1951-01-31,336.0
1951-02-28,338.54516853932586
1951-03-31,341.36303370786516
1951-04-30,344.09
1951-05-31,346.5480978260869
1951-06-30,348.92690217391305
1951-07-31,351.385
1951-08-31,353.0000326086956
1951-09-30,354.56296739130437
1951-10-31,356.178
1951-11-30,357.36560869565216
1951-12-31,358.5928043478261
1952-01-31,359.82
1952-02-29,360.2098888888889
1952-03-31,360.62666666666667
1952-04-30,361.03
1952-05-31,363.27783695652175
1952-06-30,365.45316304347824
1952-07-31,367.701
1952-08-31,372.11883695652176
1952-09-30,376.3941630434783
1952-10-31,380.812
1952-11-30,383.14939130434783
1952-12-31,385.56469565217395
1953-01-31,387.98
1953-02-28,389.16575280898877
1953-03-31,390.47855056179776
1953-04-30,391.749
1953-05-31,391.5542391304348
1953-06-30,391.36576086956524
1953-07-31,391.171
1953-08-31,389.4184891304348
1953-09-30,387.7225108695652
1953-10-31,385.97
1953-11-30,385.76619565217396
1953-12-31,385.55559782608697
1954-01-31,385.345
1954-02-28,385.5891348314607
1954-03-31,385.8594269662921
1954-04-30,386.121
1954-05-31,387.76366304347823
1954-06-30,389.35333695652173
1954-07-31,390.996
1954-08-31,393.9403260869565
1954-09-30,396.7896739130435
1954-10-31,399.734
1954-11-30,404.08367391304347
1954-12-31,408.5783369565217
1955-01-31,413.073
1955-02-28,415.7342584269663
1955-03-31,418.68065168539323
1955-04-30,421.532
1955-05-31,424.4598152173913
1955-06-30,427.2931847826087
1955-07-31,430.221
1955-08-31,432.53622826086956
1955-09-30,434.7767717391304
1955-10-31,437.092
1955-11-30,437.9574347826087
1955-12-31,438.8517173913043
1956-01-31,439.746
1956-02-29,441.76439999999997
1956-03-31,443.92199999999997
1956-04-30,446.01
1956-05-31,447.7557717391304
1956-06-30,449.44522826086956
1956-07-31,451.191
1956-08-31,454.31526086956524
1956-09-30,457.33873913043476
1956-10-31,460.463
1956-11-30,463.5008260869565
1956-12-31,466.63991304347826
1957-01-31,469.779
1957-02-28,470.485606741573
1957-03-31,471.2679213483146
1957-04-30,472.025
1957-05-31,474.5403804347826
1957-06-30,476.9746195652174
1957-07-31,479.49
1957-08-31,477.9312391304348
1957-09-30,476.4227608695652
1957-10-31,474.864
1957-11-30,472.47573913043476
1957-12-31,470.0078695652174
1958-01-31,467.54
1958-02-28,468.9362247191011
1958-03-31,470.48204494382026
1958-04-30,471.978
1958-05-31,476.64922826086956
1958-06-30,481.16977173913045
1958-07-31,485.841
1958-08-31,490.4620217391304
1958-09-30,494.9339782608696
1958-10-31,499.555
1958-11-30,503.06858695652176
1958-12-31,506.69929347826087
1959-01-31,510.33
1959-02-28,514.2068988764045
1959-03-31,518.4991797752809
1959-04-30,522.653
1959-05-31,523.4552934782608
1959-06-30,524.2317065217392
1959-07-31,525.034
1959-08-31,526.2355869565217
1959-09-30,527.3984130434783
1959-10-31,528.6
1959-11-30,533.1808695652174
1959-12-31,537.9144347826087
1960-01-31,542.648
1960-02-29,542.1427555555556
1960-03-31,541.6026666666667
1960-04-30,541.08
1960-05-31,542.6043913043478
1960-06-30,544.0796086956523
1960-07-31,545.604
1960-08-31,543.7820760869565
1960-09-30,542.0189239130435
1960-10-31,540.197
1960-11-30,541.7690652173914
1960-12-31,543.3935326086956
1961-01-31,545.018
1961-02-28,548.3298651685393
1961-03-31,551.9965730337078
1961-04-30,555.545
1961-05-31,559.6285760869565
1961-06-30,563.5804239130434
1961-07-31,567.664
1961-08-31,572.0269130434782
1961-09-30,576.2490869565218
1961-10-31,580.612
1961-11-30,584.9818913043479
1961-12-31,589.497445652174
1962-01-31,594.013
1962-02-28,596.0116966292135
1962-03-31,598.2245393258427
1962-04-30,600.366
1962-05-31,603.2843804347826
1962-06-30,606.1086195652174
1962-07-31,609.027
1962-08-31,610.1231195652174
1962-09-30,611.1838804347826
1962-10-31,612.28
1962-11-30,615.3426086956522
1962-12-31,618.5073043478261
1963-01-31,621.672
1963-02-28,624.2140224719101
1963-03-31,627.028404494382
1963-04-30,629.752
1963-05-31,634.7025652173912
1963-06-30,639.4934347826087
1963-07-31,644.444
1963-08-31,647.6430652173913
1963-09-30,650.7389347826087
1963-10-31,653.938
1963-11-30,659.1175652173913
1963-12-31,664.4697826086956
