observation_date,CCUSSP02IDM650N
1987-10-01,1648.000
1987-11-01,1650.000
1987-12-01,1650.000
1988-01-01,1662.000
1988-02-01,1660.000
1988-03-01,1660.000
1988-04-01,1669.000
1988-05-01,1673.000
1988-06-01,1688.000
1988-07-01,1693.000
1988-08-01,1699.000
1988-09-01,1706.000
1988-10-01,1715.000
1988-11-01,1721.000
1988-12-01,1731.000
1989-01-01,1740.000
1989-02-01,1745.000
1989-03-01,1756.000
1989-04-01,1759.000
1989-05-01,1771.000
1989-06-01,1773.000
1989-07-01,1774.000
1989-08-01,1785.000
1989-09-01,1783.000
1989-10-01,1791.000
1989-11-01,1791.000
1989-12-01,1797.000
1990-01-01,1805.000
1990-02-01,1812.000
1990-03-01,1823.000
1990-04-01,1829.000
1990-05-01,1836.000
1990-06-01,1844.000
1990-07-01,1849.000
1990-08-01,1858.000
1990-09-01,1864.000
1990-10-01,1872.000
1990-11-01,1884.000
1990-12-01,1901.000
1991-01-01,1912.000
1991-02-01,1920.000
1991-03-01,1932.000
1991-04-01,1939.000
1991-05-01,1947.000
1991-06-01,1954.000
1991-07-01,1959.000
1991-08-01,1965.000
1991-09-01,1968.000
1991-10-01,1977.000
1991-11-01,1985.000
1991-12-01,1992.000
1992-01-01,2004.000
1992-02-01,2010.000
1992-03-01,2017.000
1992-04-01,2022.000
1992-05-01,2027.000
1992-06-01,2033.000
1992-07-01,2035.000
1992-08-01,2034.000
1992-09-01,2038.000
1992-10-01,2050.000
1992-11-01,2059.000
1992-12-01,2062.000
1993-01-01,2066.000
1993-02-01,2067.000
1993-03-01,2071.000
1993-04-01,2074.000
1993-05-01,2078.000
1993-06-01,2088.000
1993-07-01,2096.000
1993-08-01,2102.000
1993-09-01,2108.000
1993-10-01,2106.000
1993-11-01,2106.000
1993-12-01,2110.000
1994-01-01,2122.000
1994-02-01,2137.000
1994-03-01,2143.000
1994-04-01,2149.000
1994-05-01,2155.000
1994-06-01,2160.000
1994-07-01,2169.000
1994-08-01,2175.000
1994-09-01,2181.000
1994-10-01,2186.000
1994-11-01,2193.000
1994-12-01,2200.000
1995-01-01,2207.000
1995-02-01,2212.000
1995-03-01,2219.000
1995-04-01,2227.000
1995-05-01,2236.000
1995-06-01,2246.000
1995-07-01,2256.000
1995-08-01,2266.000
1995-09-01,2275.000
1995-10-01,2285.000
1995-11-01,2296.000
1995-12-01,2308.000
1996-01-01,2311.000
1996-02-01,2322.000
1996-03-01,2337.000
1996-04-01,2342.000
1996-05-01,2354.000
1996-06-01,2342.000
1996-07-01,2353.000
1996-08-01,2363.000
1996-09-01,2340.000
1996-10-01,2352.000
1996-11-01,2368.000
1996-12-01,2383.000
1997-01-01,2396.000
1997-02-01,2406.000
1997-03-01,2419.000
1997-04-01,2433.000
1997-05-01,2440.000
1997-06-01,2450.000
1997-07-01,2599.000
1997-08-01,3035.000
1997-09-01,3275.000
1997-10-01,3670.000
1997-11-01,3648.000
1997-12-01,4650.000
1998-01-01,10375.000
1998-02-01,8750.000
1998-03-01,8325.000
1998-04-01,7500.000
1998-05-01,10525.000
1998-06-01,14900.000
1998-07-01,13000.000
1998-08-01,11075.000
1998-09-01,10700.000
1998-10-01,7550.000
1998-11-01,7300.000
1998-12-01,8025.000
1999-01-01,8950.000
1999-02-01,8730.000
1999-03-01,8685.000
1999-04-01,8260.000
1999-05-01,8105.000
1999-06-01,6726.000
1999-07-01,6875.000
1999-08-01,7565.000
1999-09-01,8386.000
1999-10-01,6900.000
1999-11-01,7425.000
1999-12-01,7085.000
2000-01-01,7425.000
2000-02-01,7505.000
2000-03-01,7590.000
2000-04-01,7945.000
2000-05-01,8620.000
2000-06-01,8735.000
2000-07-01,9003.000
2000-08-01,8290.000
2000-09-01,8780.000
2000-10-01,9395.000
2000-11-01,9530.000
2000-12-01,9595.000
2001-01-01,9450.000
2001-02-01,9835.000
2001-03-01,10400.000
2001-04-01,11675.000
2001-05-01,11058.000
2001-06-01,11440.000
2001-07-01,9525.000
2001-08-01,8865.000
2001-09-01,9675.000
2001-10-01,10435.000
2001-11-01,10430.000
2001-12-01,10400.000
2002-01-01,10320.000
2002-02-01,10189.000
2002-03-01,9655.000
2002-04-01,9316.000
2002-05-01,8785.000
2002-06-01,8730.000
2002-07-01,9108.000
2002-08-01,8867.000
2002-09-01,9015.000
2002-10-01,9233.000
2002-11-01,8976.000
2002-12-01,8940.000
2003-01-01,8876.000
2003-02-01,8905.000
2003-03-01,8908.000
2003-04-01,8675.000
2003-05-01,8279.000
2003-06-01,8285.000
2003-07-01,8505.000
2003-08-01,8535.000
2003-09-01,8389.000
2003-10-01,8495.000
2003-11-01,8537.000
2003-12-01,8465.000
2004-01-01,8441.000
2004-02-01,8447.000
2004-03-01,8587.000
2004-04-01,8661.000
2004-05-01,9210.000
2004-06-01,9415.000
2004-07-01,9168.000
2004-08-01,9328.000
2004-09-01,9170.000
2004-10-01,9090.000
2004-11-01,9018.000
2004-12-01,9290.000
